epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1000.96,2.48624,3.83877,2.20935,0.71503,0.16356,0.06771,0.03608,1.6286,3.15132,1.59021,0.000234281,0.000234281,0.000234281
2,2083.21,1.76964,2.56533,1.64058,0.44539,0.12793,0.10014,0.05715,1.67818,2.70048,1.77504,0.000425525,0.000425525,0.000425525
3,3253.23,1.65153,2.20271,1.5497,0.53489,0.24592,0.19584,0.10449,1.51408,2.11541,1.49858,0.000569646,0.000569646,0.000569646
4,4436.1,1.57541,1.98761,1.4968,0.54205,0.26285,0.23531,0.13613,1.50474,1.80596,1.48984,0.000501942,0.000501942,0.000501942
5,5634.51,1.48814,1.77355,1.42904,0.5935,0.28766,0.27223,0.15834,1.39889,1.75761,1.44155,0.000431256,0.000431256,0.000431256
6,6877.9,1.45902,1.6937,1.3949,0.60721,0.30759,0.29105,0.16714,1.41844,1.62371,1.41805,0.00036057,0.00036057,0.00036057
7,7894.77,1.39594,1.49138,1.35206,0.67426,0.30867,0.32991,0.1944,1.36371,1.58375,1.38504,0.000289884,0.000289884,0.000289884
8,8780.86,1.34663,1.41039,1.31763,0.62547,0.33064,0.34834,0.2115,1.35643,1.47552,1.39648,0.000219198,0.000219198,0.000219198
9,9631.46,1.32155,1.34885,1.29136,0.65832,0.34185,0.36237,0.21919,1.32269,1.38964,1.35647,0.000148512,0.000148512,0.000148512
10,10369.3,1.27942,1.24097,1.27006,0.67149,0.36665,0.38339,0.23446,1.33607,1.40607,1.37259,7.7826e-05,7.7826e-05,7.7826e-05
